Company,Complaint Count
Experian Information Solutions Inc.,7608
"EQUIFAX, INC.",6697
"TRANSUNION INTERMEDIATE HOLDINGS, INC.",3451
Pending Company Match,202
LEXISNEXIS,122
"BANK OF AMERICA, NATIONAL ASSOCIATION",85
"Portfolio Recovery Associates, LLC",68
NAVY FEDERAL CREDIT UNION,66
"CITIBANK, N.A.",62
SYNCHRONY FINANCIAL,61
Chime Financial Inc,55
Resurgent Capital Services L.P.,53
U.S. BANCORP,52
JPMORGAN CHASE & CO.,52
ENCORE CAPITAL GROUP INC.,52
"I.C. System, Inc.",52
"Kriya Capital, LLC",50
CAPITAL ONE FINANCIAL CORPORATION,36
CL Holdings LLC,36
MOHELA,30
"National Credit Systems,Inc.",29
"Paypal Holdings, Inc",29
WELLS FARGO & COMPANY,26
"Block, Inc.",24
"Affirm Holdings, Inc",23
"Imprint Payments, Inc.",22
"Rowland Avenue Management, Inc. A/KA Columbia Debt Recovery, LLC d/b/a Genesis",21
Credit Corp Solutions Inc.,21
"CBC Companies, Inc.",20
"Bread Financial Holdings, Inc.",19
DISCOVER BANK,18
"Receivables Management Partners, LLC",15
TRANSWORLD SYSTEMS INC,13
CCM Finance LLC,13
GOLDMAN SACHS BANK USA,12
Self Financial Inc.,12
TD BANK US HOLDING COMPANY,11
AMERICAN EXPRESS COMPANY,11
Bridgecrest Acceptance Corporation,11
"Credit Control, LLC",11
"CCS Financial Services, Inc.",11
Radius Global Solutions LLC,11
"MILLENNIUM FINANCIAL GROUP, L.L.C.",10
"Revco Management, LLC",10
"Upstart Holdings, Inc.",10
"National Credit Adjusters, LLC",9
"SANTANDER HOLDINGS USA, INC.",9
TRUIST FINANCIAL CORPORATION,9
Atlanticus Services Corporation,9
PNC Bank N.A.,8
"Coinbase, Inc.",8
FinCo Services Inc DBA Current,7
"Avadyne Health Holdings, Inc",7
"SOFI TECHNOLOGIES, INC.",7
"Rocket Mortgage, LLC",7
"ID Analytics, Inc.",7
"American Credit Acceptance, LLC",6
Conduent Incorporated,6
Kikoff Inc.,6
"Westlake Services, LLC",6
"Credit Karma, LLC",6
"ONLINE Information Services, Inc.",6
EdFinancial Services,6
"Security Credit Services, LLC",6
"Capio Partners, LLC",6
Servatus Corporation,6
Ocwen Financial Corporation,5
"Aargon Agency, Inc.",5
Rain Technologies Inc.,5
"Exeter Finance, LLC.",5
"Paramount GR Holdings, LLC",5
"ENOVA INTERNATIONAL, INC.",5
"Shellpoint Partners, LLC",5
CrossCountry Mortgage LLC,5
700 Credit Experts,4
"ARS National Services, Inc.",4
World Omni Financial Corp.,4
